N,Etiqueta,TS,ciudad,nodo_concentrador,nodo_estandar,nodo_backup,ruta,caja_codigo,color_buffer
626,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC53B-ROS,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC53B,ROS
627,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC52B-VIO,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC52B,VIO
628,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC51B-VIO,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC51B,VIO
629,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC50B-VIO,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC50B,VIO
630,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC49B-VIO,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC49B,VIO
631,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC48B-VIO,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC48B,VIO
632,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC47B-VIO,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC47B,VIO
633,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC46B-AMA,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC46B,AMA
634,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC45B-AMA,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC45B,AMA
635,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC44B-AMA,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC44B,AMA
636,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC43B-AMA,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC43B,AMA
637,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC42B-AMA,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC42B,AMA
638,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC41B-AMA,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC41B,AMA
639,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC40B-NEG,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC40B,NEG
640,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC39B-NEG,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC39B,NEG
641,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC38B-NEG,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC38B,NEG
642,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC37B-NEG,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC37B,NEG
643,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC36B-NEG,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC36B,NEG
